Sex,Age,Year,5101,5103,5104,5105,5106,5107,5108,5109,5110,5111,5113,5114,5115,5116,5117,5118,5119,5120,5132,5133,5134
Female,3,2000,56243,16010,7933,28494,20415,29444,20710,20967,24025,19540,42303,19172,33082,33332,38791,11138,30992,27480,7966,8056,44235
Female,3,2001,56670,17110,8320,29556,20077,29726,21913,21305,25090,20197,41890,19482,34038,33992,39822,10373,30544,27744,7639,7897,41700
Female,3,2002,58526,14720,9249,26911,20563,28178,19834,18245,21158,17959,32487,16067,32473,28681,34717,9366,25939,24763,7812,7762,41239
Female,3,2003,49167,12087,7592,23131,15370,21546,13849,14384,18678,14903,28206,13178,25837,22079,32069,7529,21735,19225,5966,7407,37225
Female,3,2004,46508,13569,7337,26264,13748,18988,10669,14807,18256,12801,33315,11902,27168,23170,35373,7050,23989,18890,6004,8573,39022
Female,3,2005,42702,12954,6593,26052,13415,17314,10819,13325,18241,12421,30687,11412,26637,20822,33452,7239,20682,18575,5790,8256,36326
Female,3,2006,41100,13133,6185,27298,13095,16874,11009,12602,18261,12669,28809,11403,26200,19049,32662,7220,19267,20353,5604,8742,38758
Female,3,2007,44254,14704,6277,33029,12809,17637,11294,13019,20969,13530,27560,11472,28760,17850,36095,7586,19162,22660,5436,8614,41019
Female,3,2008,43243,15105,5726,35447,12856,17697,11774,12792,21799,13063,27002,11057,28284,17302,34188,8052,16305,24146,5304,7808,37425
Female,3,2009,44659,15517,5567,33970,13993,19219,11501,14012,22488,13771,29708,11782,29458,17110,35526,8415,17280,24822,5177,8189,39261
Female,3,2010,50650,15478,5666,29744,14446,21041,11991,14994,20277,14562,29727,12974,28140,17269,33874,7912,16340,24289,5102,7993,39066
Female,3,2011,53971,14835,5597,27938,14921,20455,12440,15204,19119,14770,29868,13599,28833,17717,32666,7111,16752,21945,5072,8187,39276
Female,3,2012,57705,13968,5177,25013,15379,20238,12870,14876,18046,14354,29979,12921,29145,18145,32413,6763,15759,18442,5072,8001,42111
Female,3,2013,54180,12312,4798,22132,15686,20143,13226,13056,17185,13482,29964,13812,27302,18458,27678,6783,15882,16307,5089,7384,35754
Female,3,2014,82292,13623,5093,24467,15927,23417,11130,15415,16439,14637,28316,13668,30011,18406,32276,6759,15927,13584,5172,8397,46024
Female,3,2015,95092,14041,5480,25836,16212,25044,11185,16153,16918,16063,28178,14907,30951,18595,33228,7246,16973,13614,5153,9330,49177
Female,3,2016,88149,12609,5011,24086,14204,22149,11173,14949,15439,14675,27948,13529,28845,19061,29749,6807,16042,12212,5127,8773,48873
Female,3,2017,93908,11984,5291,22893,13877,22140,11267,14682,14408,14637,28409,13407,26673,19521,28246,6819,16300,11378,5136,8900,48441
Female,3,2018,97277,11464,4970,21481,14037,22144,11169,13857,13843,14464,29024,13599,25136,20122,26017,7042,14942,10092,5202,8997,44566
Female,3,2019,111152,11379,5917,22681,15314,23683,10494,14644,13955,15204,22572,14423,25473,13716,26356,7653,14994,10462,4531,8770,44496
Female,3,2020,116140,11492,6307,23437,15806,24347,10341,14133,15198,15257,22649,15070,26215,14355,26105,8204,14410,10548,4528,8612,42495
Female,3,2021,98593,9725,5492,19470,12995,19973,10141,11575,12406,13272,23465,13090,22491,15331,21276,6846,12048,8581,4571,7344,35922
Female,3,2022,97785,8991,5279,17507,12195,19623,9881,11015,10983,12974,23393,12741,20874,16013,19714,6650,11477,7925,4564,6613,34421
Female,4,2000,57222,17108,8180,29280,21188,31971,23493,22976,25087,21257,46381,21136,36603,36341,43680,11970,31552,27278,8224,8192,43954
Female,4,2001,56378,16004,7933,28485,20167,29007,20327,20780,23810,19398,42251,19033,32978,32857,38571,11011,30782,27014,7867,8116,43923
Female,4,2002,56752,16981,8287,29508,19830,29150,21500,21113,24620,19908,41838,19201,33814,33501,39738,10250,30607,27195,7543,7955,41620
Female,4,2003,57531,14587,9030,26678,20308,27266,19453,18011,20728,17553,32446,15694,31874,28261,34599,9124,26041,24055,7713,7832,40865
Female,4,2004,49559,12272,7630,23429,15176,21329,13578,14565,18573,14827,28171,13051,25964,21750,32185,7480,22185,19154,5890,7632,37465
Female,4,2005,46478,13557,7328,26230,13738,18966,10656,14795,18239,12791,33291,11888,27131,23136,35336,7044,23949,18872,5994,8551,38890
Female,4,2006,42676,12943,6586,26020,13405,17296,10807,13316,18225,12411,30666,11399,26603,20793,33419,7233,20650,18558,5781,8235,36211
Female,4,2007,41076,13123,6179,27267,13085,16856,10998,12593,18246,12659,28790,11390,26169,19024,32631,7214,19239,20335,5595,8721,38643
Female,4,2008,44230,14692,6271,32993,12800,17620,11283,13010,20953,13520,27543,11460,28727,17829,36063,7580,19137,22641,5428,8594,40905
Female,4,2009,43220,15095,5721,35411,12848,17681,11763,12785,21783,13054,26985,11047,28254,17282,34159,8046,16285,24127,5297,7791,37329
Female,4,2010,44632,15504,5563,33944,13982,19203,11491,14007,22475,13760,29691,11769,29432,17096,35501,8410,17268,24806,5171,8169,39193
Female,4,2011,53390,15528,5702,30101,14566,21283,12034,14964,20280,14639,30034,12992,28441,17587,34274,7921,16318,23598,5113,8041,39372
Female,4,2012,56676,14933,5636,28317,14999,20710,12485,15211,19110,14840,30173,13606,29170,18037,33114,7109,16743,21376,5083,8260,39888
Female,4,2013,60102,14123,5206,25500,15456,20520,12917,14951,18099,14391,30283,12950,29531,18468,32865,6791,15882,18053,5083,8124,42760
Female,4,2014,57809,12635,4854,22482,15754,20566,13274,13394,17174,13618,30265,13779,27730,18781,28487,6787,15894,16051,5100,7632,37392
Female,4,2015,82262,13617,5090,24453,15920,23404,11124,15409,16433,14628,28305,13660,29992,18395,32259,6756,15918,13578,5167,8384,45962
Female,4,2016,95060,14035,5477,25823,16206,25033,11179,16148,16913,16053,28168,14899,30933,18586,33213,7243,16966,13609,5148,9316,49121
Female,4,2017,88122,12604,5009,24076,14198,22140,11168,14945,15435,14666,27939,13522,28830,19053,29737,6804,16036,12208,5123,8761,48827
