Age,Sex,Pref,DiagnoseYear,Population
15,female,5101,2011,64793
15,female,5101,2012,64179
15,female,5101,2013,64788
15,female,5101,2014,68882
15,female,5101,2015,56470
15,female,5101,2016,48685
15,female,5101,2017,48242
15,female,5101,2018,48067
16,female,5101,2000,55783
16,female,5101,2001,65401
16,female,5101,2002,76339
16,female,5101,2003,84183
16,female,5101,2004,67335
16,female,5101,2005,74371
16,female,5101,2006,68365
16,female,5101,2007,69300
16,female,5101,2008,63448
16,female,5101,2009,72423
16,female,5101,2010,64396
16,female,5101,2011,75408
16,female,5101,2012,65244
16,female,5101,2013,64404
16,female,5101,2014,64890
16,female,5101,2015,68931
16,female,5101,2016,56501
16,female,5101,2017,48699
16,female,5101,2018,48241
17,female,5101,2000,69050
17,female,5101,2001,56809
17,female,5101,2002,67889
17,female,5101,2003,79070
17,female,5101,2004,87284
17,female,5101,2005,70892
17,female,5101,2006,78336
17,female,5101,2007,72373
17,female,5101,2008,72984
17,female,5101,2009,66532
17,female,5101,2010,74712
17,female,5101,2011,65845
17,female,5101,2012,76230
17,female,5101,2013,65669
17,female,5101,2014,64608
17,female,5101,2015,64997
17,female,5101,2016,69009
17,female,5101,2017,56554
17,female,5101,2018,48724
18,female,5101,2000,97696
18,female,5101,2001,70553
18,female,5101,2002,60465
18,female,5101,2003,71915
18,female,5101,2004,83655
18,female,5101,2005,92555
18,female,5101,2006,76798
18,female,5101,2007,84334
18,female,5101,2008,77924
18,female,5101,2009,77664
18,female,5101,2010,70042
18,female,5101,2011,76958
18,female,5101,2012,67141
18,female,5101,2013,76913
18,female,5101,2014,66006
18,female,5101,2015,64793
18,female,5101,2016,65140
18,female,5101,2017,69119
18,female,5101,2018,56627
19,female,5101,2000,90870
19,female,5101,2001,99085
19,female,5101,2002,74023
19,female,5101,2003,64374
19,female,5101,2004,76472
19,female,5101,2005,89031
19,female,5101,2006,98751
19,female,5101,2007,83304
19,female,5101,2008,90577
19,female,5101,2009,83414
19,female,5101,2010,81985
19,female,5101,2011,72970
19,female,5101,2012,78764
19,female,5101,2013,68176
19,female,5101,2014,77477
19,female,5101,2015,66361
19,female,5101,2016,65119
19,female,5101,2017,65459
19,female,5101,2018,69425
20,female,5101,2000,66421
20,female,5101,2001,92167
20,female,5101,2002,102441
20,female,5101,2003,77951
20,female,5101,2004,69136
20,female,5101,2005,82311
20,female,5101,2006,96035
20,female,5101,2007,106415
20,female,5101,2008,90995
20,female,5101,2009,97658
20,female,5101,2010,89266
20,female,5101,2011,86160
20,female,5101,2012,75691
20,female,5101,2013,80416
20,female,5101,2014,69138
20,female,5101,2015,78123
20,female,5101,2016,66997
20,female,5101,2017,65787
20,female,5101,2018,66156
21,female,5101,2000,76611
21,female,5101,2001,67792
21,female,5101,2002,95639
21,female,5101,2003,106436
21,female,5101,2004,82734
21,female,5101,2005,74924
21,female,5101,2006,89153
21,female,5101,2007,103413
21,female,5101,2008,113703
21,female,5101,2009,97608
21,female,5101,2010,103036
21,female,5101,2011,93042
21,female,5101,2012,88580
21,female,5101,2013,77137
21,female,5101,2014,81243
21,female,5101,2015,69684
21,female,5101,2016,78651
21,female,5101,2017,67543
